name,name_en,product_sku,category,brand,base_price,description,status,variant_name,variant_sku,variant_price,variant_stock,attributes
شاشة جيمنج,Gaming Monitor,MON-GAM-01,اجهزة كمبيوتر,Dell,599,شاشة جيمنج 27 بوصة,published,27 بوصة FHD,MON-GAM-01-27FHD,599,35,size:27inch|resolution:FHD|refresh:144Hz
شاشة جيمنج,Gaming Monitor,MON-GAM-01,اجهزة كمبيوتر,Dell,,,,27 بوصة QHD,MON-GAM-01-27QHD,799,25,size:27inch|resolution:QHD|refresh:165Hz
شاشة جيمنج,Gaming Monitor,MON-GAM-01,اجهزة كمبيوتر,Dell,,,,32 بوصة 4K,MON-GAM-01-32-4K,1199,15,size:32inch|resolution:4K|refresh:144Hz
كرسي مكتب,Office Chair,CHAIR-OFF-01,أثاث مكتبي,Herman Miller,899,كرسي مكتب مريح,published,أسود قياسي,CHAIR-OFF-01-BLK,899,20,color:Black|type:Standard
كرسي مكتب,Office Chair,CHAIR-OFF-01,أثاث مكتبي,Herman Miller,,,,رمادي بريميوم,CHAIR-OFF-01-GRY-P,1299,10,color:Gray|type:Premium
طابعة ليزر,Laser Printer,PRINT-LAS-01,طابعات,HP,349,طابعة ليزر ملونة,published,أبيض وأسود,PRINT-LAS-01-BW,349,45,type:Monochrome
طابعة ليزر,Laser Printer,PRINT-LAS-01,طابعات,HP,,,,ملونة,PRINT-LAS-01-CLR,549,30,type:Color
كاميرا ويب,Webcam,CAM-WEB-01,اكسسوارات,Logitech,129,كاميرا ويب عالية الدقة,published,720p,CAM-WEB-01-720,79,80,resolution:720p
كاميرا ويب,Webcam,CAM-WEB-01,اكسسوارات,Logitech,,,,1080p,CAM-WEB-01-1080,129,60,resolution:1080p
كاميرا ويب,Webcam,CAM-WEB-01,اكسسوارات,Logitech,,,,4K,CAM-WEB-01-4K,199,40,resolution:4K
