name,name_en,product_sku,category,brand,base_price,description,status,variant_name,variant_sku,variant_price,variant_stock,attributes
جهاز تنقية الهواء,Air Purifier,AIR-PUR-01,أجهزة منزلية,Dyson,299,جهاز تنقية هواء ذكي,published,صغير,AIR-PUR-01-S,299,50,size:Small|color:White
جهاز تنقية الهواء,Air Purifier,AIR-PUR-01,أجهزة منزلية,Dyson,,,,متوسط,AIR-PUR-01-M,399,30,size:Medium|color:White
جهاز تنقية الهواء,Air Purifier,AIR-PUR-01,أجهزة منزلية,Dyson,,,,كبير,AIR-PUR-01-L,499,20,size:Large|color:Silver
مكنسة روبوت,Robot Vacuum,ROB-VAC-01,أجهزة منزلية,Xiaomi,199,مكنسة روبوت ذكية,published,أساسي,ROB-VAC-01-B,199,40,model:Basic|color:Black
مكنسة روبوت,Robot Vacuum,ROB-VAC-01,أجهزة منزلية,Xiaomi,,,,برو,ROB-VAC-01-P,349,25,model:Pro|color:White
ساعة ذكية,Smart Watch,WATCH-01,ساعات ذكية,Garmin,399,ساعة ذكية رياضية,published,42mm أسود,WATCH-01-42-BLK,399,60,size:42mm|color:Black
ساعة ذكية,Smart Watch,WATCH-01,ساعات ذكية,Garmin,,,,46mm فضي,WATCH-01-46-SLV,449,40,size:46mm|color:Silver
سماعة بلوتوث,Bluetooth Speaker,SPK-BT-01,مكبرات صوت,JBL,79,سماعة بلوتوث محمولة,published,أسود,SPK-BT-01-BLK,79,100,color:Black
سماعة بلوتوث,Bluetooth Speaker,SPK-BT-01,مكبرات صوت,JBL,,,,أحمر,SPK-BT-01-RED,79,80,color:Red
سماعة بلوتوث,Bluetooth Speaker,SPK-BT-01,مكبرات صوت,JBL,,,,أزرق,SPK-BT-01-BLU,79,70,color:Blue
